User,Text,Date Tweeted,Compound Point,Positive Point,Neutral Point,Negative Point,Tweets Ago
@BBC,"The Generation Game is back! Mel Giedroyc and @sueperkins host the fun family game show, with big prizes to be won… https://t.co/fsdU2b5kkd",Sun Apr 01 18:00:27 +0000 2018,0.7644,0.248,0.752,0.0,1
@BBC,RT @BBCSport: Happy April Fool's Day everyone! https://t.co/8o8K1YO4SE,Sun Apr 01 17:42:22 +0000 2018,0.6114,0.363,0.637,0.0,2
@BBC,🤖 Who'd love their next takeaway to be delivered by a robot?  https://t.co/4GZxjNwc2K,Sun Apr 01 17:00:26 +0000 2018,0.6369,0.296,0.704,0.0,3
@BBC,"🐰 You only need one piece of paper to make this origami Easter bunny! #EasterSunday 

👉 https://t.co/2QvZ01DkVM https://t.co/EQyhG2J8TN",Sun Apr 01 16:03:03 +0000 2018,0.0,0.0,1.0,0.0,4
@BBC,What is it like to grow up with HIV? Three teenagers share their stories. https://t.co/DraVkYqRTn,Sun Apr 01 15:00:26 +0000 2018,0.5719,0.266,0.734,0.0,5
@BBC,RT @BBCNews: Royal wedding: Prince Harry and Meghan Markle choose flowers https://t.co/bEV8gIGXKN,Sun Apr 01 14:48:39 +0000 2018,0.0,0.0,1.0,0.0,6
@BBC,RT @BBCiPlayer: Remember when we discovered that penguins can actually fly? #WeAreStillShook 😱😱 https://t.co/K167WaTNN2,Sun Apr 01 14:47:16 +0000 2018,0.0,0.0,1.0,0.0,7
@BBC,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…",Sun Apr 01 12:19:34 +0000 2018,0.7717,0.242,0.758,0.0,8
@BBC,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ,Sun Apr 01 12:14:27 +0000 2018,0.0,0.0,1.0,0.0,9
@BBC,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY,Sun Apr 01 12:00:24 +0000 2018,0.0,0.0,1.0,0.0,10
@BBC,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ,Sun Apr 01 11:23:47 +0000 2018,0.0,0.0,1.0,0.0,11
@BBC,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…,Sun Apr 01 11:19:57 +0000 2018,0.0,0.0,1.0,0.0,12
